Neighborhood,63101,63102,63103,63104,63106,63107,63108,63109,63110,63111,63112,63113,63115,63116,63118,63139,63147
Academy,,,,,,,TRUE,,,,,TRUE,,,,,
Baden,,,,,,,,,,,,,,,,,TRUE
Benton Park,,,,TRUE,,,,,,,,,,,TRUE,,
Benton Park West,,,,,,,,,,,,,,,TRUE,,
Bevo Mill,,,,,,,,,,,,,,TRUE,,,
Botanical Heights,,,,,,,,,TRUE,,,,,,,,
Boulevard Heights,,,,,,,,,,,,,,TRUE,,,
Carondelet,,,,,,,,,,TRUE,,,,TRUE,,,
Carr Square,,,,,TRUE,,,,,,,,,,,,
Central West End,,,,,,,TRUE,,TRUE,,,,,,,,
Cheltenham,,,,,,,,,TRUE,,,,,,,,
Clayton-Tamm,,,,,,,,,,,,,,,,TRUE,
Clifton Heights,,,,,,,,,,,,,,,,TRUE,
College Hill,,,,,,TRUE,,,,,,,,,,,TRUE
Columbus Square,TRUE,,,,TRUE,,,,,,,,,,,,
Compton Heights,,,,TRUE,,,,,,,,,,,,,
Grand Center,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,
DeBaliviere Place,,,,,,,,,,,TRUE,,,,,,
Downtown,TRUE,TRUE,,,,,,,,,,,,,,,
Downtown West,,,TRUE,,TRUE,,,,,,,,,,,,
Dutchtown,,,,,,,,,,TRUE,,,,TRUE,TRUE,,
Ellendale,,,,,,,,,,,,,,,,TRUE,
Fairground,,,,,,TRUE,,,,,,,,,,,
Forest Park Southeast,,,,,,,,,TRUE,,,,,,,,
Fountain Park,,,,,,,TRUE,,,,,TRUE,,,,,
McKinley Heights,,,,TRUE,,,,,,,,,,,,,
Fox Park,,,,TRUE,,,,,,,,,,,TRUE,,
Franz Park,,,,,,,,,,,,,,,,TRUE,
Gravois Park,,,,,,,,,,,,,,,TRUE,,
Hamilton Heights,,,,,,,,,,,TRUE,,,,,,
Hi-Pointe,,,,,,,,,,,,,,,,TRUE,
Holly Hills,,,,,,,,,,,,,,TRUE,,,
Hyde Park,,,,,,TRUE,,,,,,,,,,,TRUE
JeffVanderLou,,,,,TRUE,TRUE,,,,,,TRUE,,,,,
Kings Oak,,,,,,,,,TRUE,,,,,,,,
Kingsway East,,,,,,,,,,,,TRUE,TRUE,,,,
Kingsway West,,,,,,,,,,,,TRUE,TRUE,,,,
Kosciusko,,,,TRUE,,,,,,,,,,,TRUE,,
Lafayette Square,,,,TRUE,,,,,,,,,,,,,
LaSalle Park,,,,TRUE,,,,,,,,,,,,,
Lewis Place,,,,,,,TRUE,,,,,TRUE,,,,,
Lindenwood Park,,,,,,,,TRUE,,,,,,,,TRUE,
Marine Villa,,,,,,,,,,,,,,,TRUE,,
Mark Twain,,,,,,,,,,,,,TRUE,,,,
Mark Twain/I-70 Industrial,,,,,,,,,,,,,TRUE,,,,
Midtown,,,TRUE,,,,TRUE,,TRUE,,,,,,,,
Mount Pleasant,,,,,,,,,,TRUE,,,,,,,
Near North Riverfront,,TRUE,,,,,,,,,,,,,,,TRUE
North Hampton,,,,,,,,TRUE,,,,,,,,TRUE,
North Point,,,,,,,,,,,,,,,,,TRUE
North Riverfront,,,,,,,,,,,,,,,,,TRUE
O’Fallon,,,,,,TRUE,,,,,,,TRUE,,,,
Old North St. Louis,,,,,TRUE,TRUE,,,,,,,,,,,
Patch,,,,,,,,,,TRUE,,,,,,,
Peabody Darst Webbe,,,,TRUE,,,,,,,,,,,,,
Penrose,,,,,,,,,,,,,TRUE,,,,
Princeton Heights,,,,,,,,TRUE,,,,,,TRUE,,,
Shaw,,,,,,,,,TRUE,,,,,,,,
Skinker-DeBaliviere,,,,,,,,,,,TRUE,,,,,,
Soulard,,,,TRUE,,,,,,,,,,,TRUE,,
South Hampton,,,,,,,,TRUE,,,,,,,,,
Southwest Garden,,,,,,,,,TRUE,,,,,,,TRUE,
St. Louis Hills,,,,,,,,TRUE,,,,,,,,,
St. Louis Place,,,,,TRUE,TRUE,,,,,,,,,,,
The Gate District,,,,TRUE,,,,,,,,,,,,,
Greater Ville,,,,,,TRUE,,,,,,TRUE,TRUE,,,,
The Hill,,,,,,,,,TRUE,,,,,,,,
The Ville,,,,,,,,,,,,TRUE,TRUE,,,,
Tiffany,,,,,,,,,TRUE,,,,,,,,
Tower Grove East,,,,TRUE,,,,,,,,,,,TRUE,,
Tower Grove South,,,,,,,,,,,,,,TRUE,,,
Vandenventer,,,,,,,TRUE,,,,,TRUE,,,,,
Visitation Park,,,,,,,,,,,TRUE,,,,,,
Wells/Goodfellow,,,,,,,,,,,TRUE,,,,,,
West End,,,,,,,,,,,TRUE,,,,,,
